id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
0,0.65,0.96,5,226,2,1,0,0,marketing,medium
1,0.88,0.8,3,166,2,0,0,0,IT,low
2,0.69,0.98,3,214,2,0,0,0,sales,low
3,0.41,0.47,2,154,3,0,1,0,sales,low
4,0.87,0.76,5,254,2,1,0,0,hr,low
5,0.72,0.88,3,224,3,0,0,0,technical,low
6,0.98,0.78,4,155,3,1,0,0,technical,low
7,0.17,0.76,4,280,5,0,0,0,hr,low
8,0.2,0.98,4,166,4,1,0,0,sales,medium
9,0.16,0.9,5,258,3,0,0,0,technical,medium
10,0.77,0.91,5,236,5,0,1,0,marketing,medium
11,0.67,0.71,4,159,2,1,0,0,technical,medium
12,0.54,0.78,3,156,7,0,0,0,sales,medium
13,0.77,0.88,2,169,3,0,0,0,technical,medium
14,0.74,0.99,2,277,3,0,1,0,IT,medium
15,0.59,0.74,3,240,3,0,0,0,IT,low
16,0.73,0.9,3,274,2,0,0,0,support,high
17,0.49,1.0,2,125,4,1,0,0,sales,low
18,0.92,0.98,3,257,3,0,0,1,sales,medium
19,0.76,0.49,5,243,3,0,0,0,technical,low
20,0.51,0.64,3,267,2,0,0,0,sales,low
21,0.43,0.57,2,157,3,0,1,0,sales,low
22,0.11,0.95,6,279,4,0,1,0,technical,low
23,0.75,0.92,3,199,3,1,0,0,management,low
24,0.45,0.57,2,158,3,0,1,0,sales,low
25,0.85,0.96,4,217,5,0,1,0,technical,low
26,0.42,0.48,2,143,3,0,1,0,sales,low
27,0.64,0.95,4,199,4,0,0,0,accounting,medium
28,0.65,0.95,2,180,2,0,0,0,product_mng,low
29,0.21,0.37,4,129,4,0,0,0,product_mng,medium
30,0.82,1.0,4,273,6,0,1,0,support,medium
31,0.53,0.92,3,207,4,1,0,0,sales,low
32,0.8,0.54,3,222,4,0,0,0,technical,low
33,0.38,0.46,2,137,3,0,1,0,technical,low
34,0.61,0.81,5,136,3,0,0,0,hr,low
35,0.96,0.9,4,201,3,0,0,0,sales,low
36,0.83,0.99,4,223,5,0,1,0,accounting,medium
37,0.1,0.87,6,307,4,0,1,0,product_mng,high
38,0.94,0.78,4,211,3,0,0,0,support,medium
39,0.88,0.82,3,244,3,0,0,0,sales,low
40,0.12,0.7,5,277,3,0,0,0,support,medium
41,0.63,0.92,2,198,2,0,0,0,hr,low
42,0.47,0.46,2,152,2,0,0,0,IT,medium
43,0.7,0.53,3,215,7,1,0,0,technical,medium
44,0.27,0.64,2,188,3,0,0,0,hr,low
45,0.71,0.97,3,173,2,1,0,0,marketing,medium
46,0.39,0.5,2,147,3,0,1,0,marketing,low
47,0.24,0.62,6,225,6,0,0,0,sales,low
48,0.1,0.97,6,247,4,0,1,0,management,medium
